Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-12-14,212.0,213.35,210.0,213.3,212.35,860565.0,1822.86
2018-12-13,213.35,215.7,210.25,212.9,212.4,1196911.0,2552.82
2018-12-12,203.15,213.9,203.0,212.65,212.95,1755046.0,3695.14
2018-12-11,195.0,203.8,195.0,202.85,202.85,1818568.0,3635.49
2018-12-10,203.0,209.6,197.05,197.05,198.2,2514120.0,5133.76
2018-12-07,208.55,209.5,203.3,206.0,206.55,1422582.0,2928.98
2018-12-06,210.5,211.65,207.0,207.0,208.15,1270790.0,2650.42
2018-12-05,209.0,212.5,205.4,212.0,211.7,3055629.0,6417.65
2018-12-04,214.75,216.75,208.8,210.15,209.5,1908684.0,4030.39
2018-12-03,218.5,219.2,214.3,215.15,214.75,1099033.0,2373.58
2018-11-30,216.25,220.6,216.25,217.65,218.65,1044674.0,2282.89
2018-11-29,217.0,220.65,213.9,218.5,218.75,2173966.0,4728.62
2018-11-28,217.4,221.45,215.2,215.65,216.0,977424.0,2130.79
2018-11-27,218.95,219.95,214.0,217.75,217.75,1863491.0,4039.51
2018-11-26,217.45,218.9,213.0,218.1,217.65,1452206.0,3133.2
2018-11-22,219.0,219.7,214.8,215.75,215.9,967411.0,2099.53
2018-11-21,215.0,220.45,215.0,219.85,219.0,1168853.0,2552.75
2018-11-20,223.0,224.85,215.0,215.0,215.95,913551.0,2003.21
2018-11-19,222.0,225.5,221.5,224.1,224.15,904579.0,2022.99
2018-11-16,221.5,224.25,218.55,222.3,221.8,817962.0,1811.95
2018-11-15,217.95,222.5,216.7,221.0,221.45,1146455.0,2527.51
2018-11-14,220.55,221.45,216.5,217.45,217.4,1316163.0,2870.51
2018-11-13,214.0,221.2,211.8,221.0,219.95,1773622.0,3832.09
2018-11-12,211.0,217.0,210.2,214.7,214.7,2554231.0,5466.23
2018-11-09,215.0,215.6,208.55,211.5,209.5,3291284.0,6959.99
2018-11-07,215.0,216.55,214.8,215.2,215.2,180558.0,388.74
2018-11-06,220.75,221.75,213.15,213.5,213.8,1114288.0,2413.57
2018-11-05,217.5,221.35,217.05,219.75,219.85,977010.0,2140.78
2018-11-02,220.0,223.5,216.9,217.75,217.65,1701852.0,3762.47
2018-11-01,218.0,220.5,216.4,217.15,217.75,2117862.0,4624.44
2018-10-31,218.2,220.9,205.0,216.8,217.85,9609975.0,20657.69
2018-10-30,220.9,228.8,219.4,227.95,227.3,2230812.0,5011.42
2018-10-29,217.0,221.45,217.0,220.1,220.0,966687.0,2123.07
2018-10-26,223.0,223.0,215.75,216.9,217.6,1254856.0,2749.98
2018-10-25,217.9,224.7,216.0,224.4,222.1,3288126.0,7281.52
2018-10-24,220.1,221.25,217.05,219.55,219.8,2171956.0,4771.34
2018-10-23,221.1,222.2,214.75,219.55,218.3,1416279.0,3092.15
2018-10-22,229.45,231.6,222.0,223.05,223.25,3529711.0,8028.37
2018-10-19,230.3,232.7,225.5,227.75,227.2,1527904.0,3490.78
2018-10-17,237.7,240.8,229.45,231.3,231.1,2945914.0,6961.65
2018-10-16,237.1,237.7,233.05,234.4,235.45,1723113.0,4052.25
2018-10-15,229.7,237.0,226.8,234.8,234.9,1224339.0,2845.68
2018-10-12,226.25,232.35,225.5,228.7,229.1,1165527.0,2675.91
2018-10-11,215.0,229.7,215.0,225.6,224.6,1293881.0,2890.85
2018-10-10,215.0,229.65,215.0,228.25,228.4,2919278.0,6557.95
2018-10-09,215.5,219.15,209.6,215.0,216.5,1844462.0,3940.7
2018-10-08,208.0,222.25,206.85,216.0,215.15,4642146.0,10062.83
2018-10-05,217.0,218.6,205.9,210.25,209.2,3519515.0,7407.06
2018-10-04,223.5,227.8,216.15,217.25,218.2,1728786.0,3815.79
2018-10-03,230.0,237.5,225.75,226.45,227.6,1708590.0,3960.27
2018-10-01,234.55,234.6,221.05,230.3,230.9,1534749.0,3486.05
2018-09-28,234.05,235.95,230.2,233.5,233.75,3069914.0,7162.35
2018-09-27,234.55,236.8,231.1,233.8,233.25,5082859.0,11859.95
2018-09-26,240.0,240.0,232.5,235.0,234.25,2240909.0,5248.6
2018-09-25,233.3,236.75,232.0,236.25,236.1,2349368.0,5503.9
2018-09-24,233.55,239.2,230.75,234.0,233.3,3423509.0,7999.55
2018-09-21,235.0,237.0,227.95,233.75,234.6,5395319.0,12589.59
2018-09-19,235.95,237.2,233.45,234.6,234.9,1362058.0,3202.78
2018-09-18,237.9,239.25,233.5,235.5,235.05,2614794.0,6163.7
2018-09-17,233.15,238.0,230.25,236.4,236.6,3170894.0,7445.41
2018-09-14,223.45,236.7,223.3,234.0,233.95,6377909.0,14784.5
2018-09-12,216.35,223.7,212.65,221.65,222.65,4570939.0,10002.01
2018-09-11,222.5,225.4,214.85,216.35,216.0,3508990.0,7735.81
2018-09-10,222.5,235.15,220.65,221.05,222.0,7514106.0,17130.29
2018-09-07,221.0,224.5,219.1,223.15,222.95,1232507.0,2742.84
2018-09-06,224.0,225.0,218.2,220.95,221.05,1738824.0,3856.72
2018-09-05,222.0,224.6,215.2,222.1,222.4,3023097.0,6674.93
2018-09-04,238.2,238.2,222.6,223.45,223.7,3554859.0,8163.82
2018-09-03,236.0,243.55,235.05,236.85,236.7,5242852.0,12538.39
2018-08-31,237.0,239.75,232.95,234.65,234.3,3353833.0,7913.21
2018-08-30,235.35,237.3,232.1,237.3,236.0,1921327.0,4516.57
2018-08-29,233.85,237.7,232.7,234.2,234.55,1394661.0,3280.33
2018-08-28,237.0,239.3,231.3,232.9,233.35,2374782.0,5571.77
2018-08-27,231.8,239.35,231.05,236.8,237.05,1990020.0,4689.94
2018-08-24,234.5,237.2,230.2,231.5,231.0,1838417.0,4289.35
2018-08-23,240.3,240.6,233.1,235.5,235.45,1553953.0,3662.36
2018-08-21,246.9,246.9,239.25,240.9,240.55,3272005.0,7941.4
2018-08-20,244.0,247.0,243.0,244.7,245.15,1690225.0,4141.83
2018-08-17,240.8,244.5,239.2,242.7,243.0,2838238.0,6885.52
2018-08-16,236.05,242.0,235.95,240.35,239.35,2551480.0,6106.81
2018-08-14,235.0,238.5,235.0,237.4,237.55,1885288.0,4459.96
2018-08-13,233.0,236.45,232.25,235.2,234.55,1948583.0,4573.57
2018-08-10,237.3,237.95,231.1,233.65,233.55,2035594.0,4757.48
2018-08-09,236.65,239.85,235.3,237.25,237.3,1127248.0,2676.63
2018-08-08,237.25,240.5,235.05,236.35,236.35,1807313.0,4305.39
2018-08-07,241.0,241.55,235.3,237.5,237.6,1963538.0,4677.58
